Catalog_number	Tissue_number	BC_genetic_cluster_assignment	CC_genetic_cluster_assignment	DecimalLongitude	DecimalLatitude	Sampling_period	Location_code	Included_in_tess3r	Sex	Wing	Tail	Weight	Comments_on_measurements	Specific_locality	County	State	Remarks	Gonads	Molt	Day	Month	Year	Macaulay_Library_catalog	Song_summary	PC1	Hybrid_Index
132099	32584	0.0386	0.9614	-94.1198	38.0525	MODERN	31	YES	male	64	59	11.7		"Rockville, 2.3 miles west"	Bates	Missouri	"with female, who was carrying nesting material; she gave muted Carolina song after male was collected; she was not collected"	"testes 7.5 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523595	PURECC	8.221493837	0.6146
132100	32587	0.5086	0.4914	-94.1213	38.0639	MODERN	19	YES	male	62.5	57.7	12.3		"Rockville, 2.3 miles west"	Bates	Missouri	with KU 132101	"testes 7 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016			-0.672227082	0.4482
132101	32588	0.003	0.997	-94.1213	38.0639	MODERN	19	YES	female	60.1	54.6	11.4	worn	"Rockville, 2.3 miles west"	Bates	Missouri	with KU 132100	3 collapsed ova; brood patch present; oviduct 4 mm in diameter & convoluted	no	8	Apr	2016			4.889396289	0.6811
132102	32567	0.4576	0.5424	-94.1211	38.0641	MODERN	20	YES	male	66.5	64.8	13.6		"Rockville, 2.3 miles west"	Bates	Missouri	"initially audio recorder on 5 April, recorded again and collected on 8 April"	"testes 8 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016	"523588, 523594"	PURECC_ABERRANT	-2.098054088	0.4754
132103	32578	0.4882	0.5118	-94.1848	38.0774	MODERN	14	NO	male	NA		12.4		"Rockville, 5.8 miles west (west of Prairie City)"	Bates	Missouri	with KU 132104	"testes 7 x 3.5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523593	PUREBC	0.181976978	0.5031
132104	32579	0.006	0.994	-94.1848	38.0774	MODERN	14	NO	female	NA		10.5		"Rockville, 5.8 miles west (west of Prairie City)"	Bates	Missouri	with KU 132104	ovary undeveloped	no	8	Apr	2016			7.504982293	0.6666
132105	32542	0.6352	0.3648	-94.1857	38.0781	MODERN	11	NO	female	NA		12.8		"Rockville, 5.8 miles west (west of Prairie City)"	Bates	Missouri	with KU 132106	egg in oviduct; oviduct 6 mm in diameter & convoluted; 1 collapsed follicle; lg. ovum 6 x 6 mm	no	12	Apr	2016			-3.898743781	0.4123
132106	32541	0.0178	0.9822	-94.1857	38.0781	MODERN	11	NO	male	NA		11.4		"Rockville, 5.8 miles west (west of Prairie City)"	Bates	Missouri	with KU 132105	"testes 10 x 5 mm, seminal vesicles enlarged"	no	12	Apr	2016	523613	PUREBC	5.605900337	0.6566
132107	32580	0.4978	0.5022	-94.0548	38.0655	MODERN	41	YES	male	NA		12.4		"Rockville, 1.5 miles southeast"	St. Clair	Missouri	"with female (not collected); male responded to Carolina song playback by giving Carolina song (not recorded, too windy)"	"testes 8 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016			-2.200099594	0.4805
132108	32570	0.001	0.999	-94.0528	38.0674	MODERN	43	YES	female	NA		12.4		"Rockville, 1.5 miles southeast"	St. Clair	Missouri	with KU 132109; male gave Carolina song in response to Carolina song playback	brood patch; oviduct 4 mm in diameter and convoluted; collapsed ovum	no	8	Apr	2016			5.887277644	0.6314
132109	32569	0.001	0.999	-94.0528	38.0674	MODERN	43	YES	male	NA		11.4		"Rockville, 1.5 miles southeast"	St. Clair	Missouri	"with KU 132108; male sang Carolina song in response to Carolina playback (not recorded, too windy)"	"testes 7 x 4.5 mm, seminal vesicles enlarged"	no	8	Apr	2016			8.022602801	0.6537
132110	32558	0.003	0.997	-94.0537	38.0636	MODERN	45	YES	male	NA		11.5		"Rockville, 1.5 miles southeast"	St. Clair	Missouri	with KU 132111	"testes 8.5 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523596	PURECC	4.185659502	0.6612
132111	32557	0.0186	0.9814	-94.0537	38.0636	MODERN	45	YES	female	NA		10.1		"Rockville, 1.5 miles southeast"	St. Clair	Missouri	with KU 132110	oviduct 3.5 mm in diameter & convoluted; lg. ovum 2 x 2 mm	no	8	Apr	2016			3.733820519	0.6503
132112	32581	0.001	0.999	-94.0118	38.1753	MODERN	30	YES	male	NA		10.7		"Appleton City, 1.7 miles southeast"	St. Clair	Missouri	"with female, neither sang; in reclaimed min with scrubby woods that had dense understory of Japanese honeysuckle"	"testes 7 x 4 mm, seminal vesicles enlarged"	no	9	Apr	2016			5.995891958	0.6785
132113	32536	0.0124	0.9876	-94.0046	38.1759	MODERN	24	YES	male	65.1	58.8	11.4		"Appleton City, 1.7 miles southeast"	St. Clair	Missouri	Heard singing both Carolina & Black-capped songs; counter singing with 2 other males ((KU 132114-5) in reclaimed min with scrubby woods that had dense understory of Japanese honeysuckle	"testes 8 x 5 mm, seminal vesicles enlarged"	no	12	Apr	2016	523610	PUREBC	6.515826654	0.6847
132114	32534	0.4874	0.5126	-94.0046	38.1749	MODERN	33	YES	male	NA		10.7		"Appleton City, 1.7 miles southeast"	St. Clair	Missouri	counter singing with 2 other males ((KU 132113 & 132115) in reclaimed min with scrubby woods that had dense understory of Japanese honeysuckle	"testes 7 x 4 mm, seminal vesciles enlarged"	no	12	Apr	2016	523609	PUREBC	-0.364269445	0.4846
132115	32543	0.4226	0.5774	-94.0046	38.1749	MODERN	33	YES	male	NA		12.6		"Appleton City, 1.7 miles southeast"	St. Clair	Missouri	counter singing with 2 other males (KU 132113-4) in reclaimed min with scrubby woods that had dense understory of Japanese honeysuckle	testes 4 x 3 mm	no	12	Apr	2016	523608	PUREBC	3.150818989	0.5259
132116	32537	0.5028	0.4972	-93.992	38.1745	MODERN	36	YES	male	NA		12		"Appleton City, 2.2 miles southeast"	St. Clair	Missouri	with mate in reclaimed mine	"testes 9 x 5 mm, seminal vesicles enlarged"	no	12	Apr	2016			-1.964693087	0.4606
132117	32583	0.0024	0.9976	-94.0251	38.1735	MODERN	32	YES	female	NA		11.2		Appleton City Cemetery	St. Clair	Missouri	with KU 132118	2 collapsed ova; oviduct 2 mm in diameter & convoluted; brood patch present	no	9	Apr	2016			4.611155132	0.6433
132118	32582	0.5016	0.4984	-94.0251	38.1735	MODERN	32	YES	male	NA		12.6		Appleton City Cemetery	St. Clair	Missouri	"with KU 132117 in scrubby woodland (reclaimed mine); sang only Black-capped song, but not recorded"	"testes 7 x 5.5 mm, seminal vesicles enlarged"	no	9	Apr	2016			-1.231740409	0.4597
132119	32554	0.1116	0.8884	-94.0221	38.1748	MODERN	29	YES	male	NA		11.5		Appleton City Cemetery	St. Clair	Missouri	"heard singing Black-capped song, but not recorded; in reclaimed mine scrubby woodland"	"testes 8 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016			5.433298492	0.6214
132120	32545	0.001	0.999	-94.0207	38.1757	MODERN	21	YES	female	NA		12.7		"Appleton City Cemetery, adjacent to east side"	St. Clair	Missouri	with KU 132121 in reclaimed mine scrubby woodland	"unshelled egg in oviduct, oviduct 6 mm in diameter & convoluted; 2 collapsed ova"	no	12	Apr	2016			7.503773024	0.6641
132121	32546	0.1604	0.8396	-94.0207	38.1757	MODERN	21	YES	male	62.9	55.5	10.7		"Appleton City Cemetery, adjacent to east side"	St. Clair	Missouri	with KU 132120 in reclaimed mine scrubby woodland	"testes 8.5 x 5 mm, seminal vesicles enlarged"	no	12	Apr	2016	523612	PUREBC	-1.641437917	0.6169
132122	32538	0.5858	0.4142	-94.3459	37.9701	MODERN	25	NO	male	67.8	62.7	12		"Four Rivers Conservation Area, Unit 1, Prairie tract"	Vernon	Missouri	"recorded over different days; sang both Black-capped & Carolina songs, as did other individuals at this site"	"testes 8 x 5 mm, seminal vesicles enlarged"	no	13	Apr	2016	"518372, 523625"	PUREBC_ABERRANT	-1.216406241	0.4706
132123	32551	0.9864	0.0136	-94.2394	38.0344	MODERN	15	NO	male	64.5	64.2	13.2		"Four Rivers Conservation Area, east side of Unit 2, pool 12"	Vernon	Missouri	with KU 132124	"testes 9 x 5 mm, seminal vesicles enlarged"	no	12	Apr	2016	523616	PUREBC	-6.589422295	0.2982
132124	32552	0.284	0.716	-94.2394	38.0344	MODERN	15	NO	female	59.6	54	12.2	worn	"Four Rivers Conservation Area, east side of Unit 2, pool 12"	Vernon	Missouri	with KU 132123	oviduct 4.5 mm in diameter & convoluted; 1 collapsed ovum	no	12	Apr	2016			3.392237946	0.5734
132125	32548	0.502	0.498	-94.2208	38.0161	MODERN	27	NO	male	65.2	59.7	12.3		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	with KU 132126	"testes 8 x 5.5 mm, seminal vesicles enlarged"	no	13	Apr	2016	523626	PUREBC_ABERRANT	0.361703508	0.5011
132126	32547	0.4078	0.5922	-94.2208	38.0161	MODERN	27	NO	female	65.4	63.1	13.7		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	with KU 132125	"unshelled egg in oviduct, oviduct 5 mm in diameter & convoluted; brood patch present"	no	13	Apr	2016			0.198787343	0.5353
132127	32549	0.4824	0.5176	-94.2206	38.0181	MODERN	28	NO	male	65.9	60.7	12.5		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	with KU 132128	"testes 8 x 5.5. mm, seminal vesicles enlarged"	no	13	Apr	2016	523627	PURECC	0.056396222	0.5117
132128	32550	0.999	0.001	-94.2206	38.0181	MODERN	28	NO	female	61.1	58.6	12.7		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	with KU 132127	"ovary mass 5 x 4 mm, lg. ovum 2 x 2 mm"	no	13	Apr	2016			-8.074208052	0.2944
132129	32540	0.135	0.865	-94.2216	38.0207	MODERN	18	NO	female	61.1	56.1	11.6		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	"with mate, not collected"	2 collapsed ova; oviduct 5 mm in diameter & convoluted; lg. ovum 6 x 6 mm		13	Apr	2016			7.743448933	0.6293
132130	32535	0.7626	0.2374	-94.2243	38.0236	MODERN	17	NO	unknown	63.1	59.4	10.8		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	"note: if this is not a female, then the mate of this individual was audio recorded (see above)"	not found	no	13	Apr	2016	523628	PUREBC	-6.756797009	0.379
132131	32597	0.8492	0.1508	-94.3209	38	MODERN	26	NO	male	65	61.6	12.8		"Four Rivers Conservation Area, south end of Unit 1"	Vernon	Missouri	with female (not collected); male sang Black-capped in response to playback	"testes 9 x 5 mm, seminal vesicles enlarged"	no	13	Apr	2016	523632	PUREBC	-6.158663483	0.3685
132132	32539	0.596	0.404	-94.2539	38.0449	MODERN	12	NO	male	64.8	58.2	11.6		"Four Rivers Conservation Area, east side of Unit 2"	Vernon	Missouri		testes 6 x 4 mm	no	13	Apr	2016			-1.501103214	0.4584
90612	3474	0.999	0.001	-95.259	38.954	REFERENCE_BC	NA		male	NA		NA		Lawrence	Douglas	Kansas				2	Feb	2000			-7.638919082	0
95776	6281	0.9346	0.0654	-95.388	39.226	REFERENCE_BC	NA		female	NA		NA		KU NESA Succession Plots	Jefferson	Kansas				10	Mar	2003			-8.129646376	0.2549
131638	29898	0.999	0.001	-95.206	39.032	REFERENCE_BC	NA		female	NA		NA		3 miles north of Lawrence	Douglas	Kansas				9	Feb	2016			-10.78473099	0
92269	7420	0.001	0.999	-93.327	36.601	REFERENCE_CC	NA		male	NA		NA		"northern tip of highway JJ, Table Rock Lake"	Stone	Missouri				21	Nov	2001			5.768207191	1
92270	7421	0.001	0.999	-93.327	36.601	REFERENCE_CC	NA		male	NA		NA		"northern tip of highway JJ, Table Rock Lake"	Stone	Missouri				21	Nov	2001			7.820299359	1
99703	649325	0.9998	2.00E-04	-94.497	38.31	SMITHSONIAN	1	NO	male	67.2	64.6	NA		"Miami Cr. Drainage, 3.0 mi N & 8.0 mi W Butler"	Bates	Missouri				1	Apr	1980			-10.81894375	0.292
99704	649329	0.999	0.001	-94.497	38.31	SMITHSONIAN	1	NO	female	63.3	60.4	NA		"Miami Cr. Drainage, 3.0 mi N & 8.0 mi W Butler"	Bates	Missouri				1	Apr	1980			-12.9144133	0.289
99705	649330	0.999	0.001	-94.497	38.31	SMITHSONIAN	1	NO	male	67.6	64.8	NA		"Miami Cr. Drainage, 3.0 mi N & 8.0 mi W Butler"	Bates	Missouri				1	Apr	1980	210187		-9.494649459	0.2891
99706	649331	0.999	0.001	-94.497	38.31	SMITHSONIAN	1	NO	female	61.4	62.5	NA		"Miami Cr. Drainage, 3.0 mi N & 8.0 mi W Butler"	Bates	Missouri				1	Apr	1980			-8.210630717	0.2841
99712	649326	0.999	0.001	-94.444	38.295	SMITHSONIAN	2	NO	female	63.1	61	NA		"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980			-10.12104186	0.277
99713	649327	0.999	0.001	-94.444	38.295	SMITHSONIAN	2	NO	female	63.8	63.8	NA		"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980			-9.527152654	0.3062
99714	649328	0.9992	8.00E-04	-94.444	38.295	SMITHSONIAN	2	NO	male	65.7	65.3	NA		"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980	210189		-10.4450217	0.2863
99715	649332	1	0	-94.444	38.295	SMITHSONIAN	2	NO	male	64.7	62.1	NA		"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980			-10.93232776	0.3081
99716	649333	0.9994	6.00E-04	-94.444	38.295	SMITHSONIAN	2	NO	female	62.6	damaged	NA		"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980			-12.22899511	0.2861
99717	649334	1	0	-94.444	38.295	SMITHSONIAN	2	NO	male	67.2	molt	NA		"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980	210190		-9.887512605	0.2799
