Catalog_number	Tissue_number	BC_genetic_cluster_assignment	CC_genetic_cluster_assignment	DecimalLongitude	DecimalLatitude	Sampling_period	Location_code	Included_in_tess3r	Sex	Wing	Tail	Weight	Comments_on_measurements	Specific_locality	County	State	Remarks	Gonads	Molt	Day	Month	Year	Macaulay_Library_catalog	Song_summary	PC1	Hybrid_Index
132041	32562	0.001	0.999	-94.1084	38.0112	MODERN	47	YES	male	NA		11.2		"Schell-Osage Conservation Area, southwest section"	Vernon	Missouri	with MBR # 9033 (KU 132042); 	"testes 8 x 5 mm, seminal vesicles enlarged"	no	5	Apr	2016	523580	PURECC	8.726140897	0.6502
132042	32561	0.001	0.999	-94.1084	38.0112	MODERN	47	YES	female	NA		11		"Schell-Osage Conservation Area, southwest section"	Vernon	Missouri	with MBR # 9034 (KU 132041)	"ovary mass 5 x 4 mm, oviduct 2 mm in diameter & slightly convoluted"	no	5	Apr	2016			7.537696186	0.6836
132043	32565	0.001	0.999	-94.1084	38.0112	MODERN	47	YES	male	NA		9.9		"Schell-Osage Conservation Area, southwest section"	Vernon	Missouri	"with female, but she was not collected"	"testes 7 x 4.5 mm, seminal vesicles enlarged"	no	5	Apr	2016	523583	PURECC	8.007395406	0.6609
132044	32606	0.001	0.999	-94.1034	38.0116	MODERN	48	YES	female	NA		10.6		"Schell-Osage Conservation Area, southwest section"	Vernon	Missouri	with KU 132045	"lg. ovum 5 x 5 mm, oviduct 3 m in diameter & mostly straight"	no	5	Apr	2016			7.746775958	0.6589
132045	32605	0.001	0.999	-94.1034	38.0116	MODERN	48	YES	male	NA		11.5		"Schell-Osage Conservation Area, southwest section"	Vernon	Missouri	with KU 132044	"testes 8 x 5 mm, seminal vesicles enlarged"	no	5	Apr	2016	523579		7.454238843	0.6648
132046	32564	0.001	0.999	-94.1107	38.0125	MODERN	44	YES	female	NA		13.1		"Schell-Osage Conservation Area, southwest section"	Vernon	Missouri	with KU 132047	unshelled egg in oviduct	no	5	Apr	2016			5.312526571	0.6799
132047	32563	0.001	0.999	-94.1107	38.0125	MODERN	44	YES	male	NA		11.4		"Schell-Osage Conservation Area, southwest section"	Vernon	Missouri	with KU 132046	"testes 9 x 6 mm, seminal vesicles enlarged"	no	5	Apr	2016			6.555044225	0.6432
132048	32619	0.001	0.999	-93.713	37.875	MODERN	50	NO	male	63.8	56.7	11.6		Bird Song Conservation Area	St. Clair	Missouri	with KU 132049	"testes 8 x 5 mm, seminal vesicles enlarged"	no	4	Apr	2016	519671	PURECC	6.936238132	0.7057
132049	32602	0.001	0.999	-93.713	37.875	MODERN	50	NO	female	60.5	55.3	9.9		Bird Song Conservation Area	St. Clair	Missouri	with KU 132048	"ovary mass 6 x 5 mm, ova = 1 mm; oviduct 2 mm in diameter & straight"	no	4	Apr	2016			6.033301073	0.6715
132050	32620	0.001	0.999	-93.713	37.875	MODERN	50	NO	female	62.5	57.2	11.9		Bird Song Conservation Area	St. Clair	Missouri	"this bird is in the background giving calls as the male sing's audio ref cut, MBR-MO-2016-025 (original cut 49), male was not collected"	unshelled egg in oviduct	no	4	Apr	2016	519675	PURECC	8.861601013	0.6527
132051	32626	0	1	-93.713	37.875	MODERN	50	NO	male	65.9	57.5	11.9		Bird Song Conservation Area	St. Clair	Missouri	with presumed female who was carrying nesting material	"testes 8.5 x 5.5 mm, seminal vesicles enlarged"	no	4	Apr	2016	519677		6.7178534	0.6655
132052	32625	0.001	0.999	-93.713	37.875	MODERN	50	NO	male	64.1	55.7	11.5		Bird Song Conservation Area	St. Clair	Missouri		"testes 9.5 x 5.5 mm, seminal vesicles enlarged"	no	4	Apr	2016	519679	PURECC	7.547966373	0.6596
132053	32624	0.001	0.999	-93.713	37.875	MODERN	50	NO	male	64	56.6	10.7		Bird Song Conservation Area	St. Clair	Missouri		"testes 7 x 5 mm, seminal vesicles enlarged"	no	4	Apr	2016	519680	PURECC	6.505887311	0.6483
132054	32618	0.001	0.999	-93.713	37.875	MODERN	50	NO	male	65.3	60.5	11.5		Bird Song Conservation Area	St. Clair	Missouri	in adjacent territory to KU 132048	"testes 10 x 6 mm, seminal vesciles enlarged"	no	4	Apr	2016	519672	PURECC	6.607619855	0.6995
132055	32621	0.002	0.998	-93.713	37.875	MODERN	50	NO	female	58.2	51.4	10.8		Bird Song Conservation Area	St. Clair	Missouri	with KU # 132056	"ovary mass 6 x 4 mm, ova = 1 mm"	no	4	Apr	2016			7.64718778	0.6469
132056	32622	0.001	0.999	-93.713	37.875	MODERN	50	NO	male	64.2	56.4	11.3		Bird Song Conservation Area	St. Clair	Missouri	with KU # 132055	"testes 7 x 4 mm, seminal vesicles enlarged"	no	4	Apr	2016			7.182920913	0.6593
132057	32623	0.001	0.999	-93.713	37.875	MODERN	50	NO	male	61.7	59	11		Bird Song Conservation Area	St. Clair	Missouri		"testes 7.5 x 5 mm, seminal vesicles enlarged"	no	4	Apr	2016			5.566332018	0.7119
132058	32617	0.9998	2.00E-04	-94.4273	38.2794	MODERN	4	NO	male	65.6	63.5	13.5		"north side of Butler Lake, Miami Creek"	Bates	Missouri	with KU 132059	"testes 8 x 5 mm, seminal vesicles enlarged"	no	13	Apr	2016			-11.77526863	0.2843
132059	32616	0.999	0.001	-94.4273	38.2794	MODERN	4	NO	female	62.2	55.4	14.5		"north side of Butler Lake, Miami Creek"	Bates	Missouri	with KU 132058	unshelled egg in oviduct; lg. ovum 7 x 7 mm	no	13	Apr	2016			-8.563600085	0.2986
132060	32615	0.999	0.001	-94.4342	38.2843	MODERN	1	NO	male	67.5	66.5	13.4	worn	"north side of Butler Lake, Miami Creek"	Bates	Missouri		"testes 8 x 4.5 mm, seminal vesicles enlarged"	no	13	Apr	2016			-10.0185125	0.2894
132061	32612	0.999	0.001	-94.4279	38.2809	MODERN	3	NO	male	66.7	65.8	13.5	white wing panels quite different between the wings	"north side of Butler Lake, Miami Creek"	Bates	Missouri	with KU 132062	"testes 9 x 5 mm, seminal vesicles enlarged"	no	13	Apr	2016			-6.798119927	0.2892
132062	32611	0.999	0.001	-94.4279	38.2809	MODERN	3	NO	female	60.7		14	missing most tail	"north side of Butler Lake, Miami Creek"	Bates	Missouri	with KU 132061	oviduct 3 mm in diameter & convoluted; 2 collapsed ova	no	13	Apr	2016			-10.63398592	0.292
132063	32614	0.9992	8.00E-04	-94.4336	38.2822	MODERN	2	NO	male	65.6	63.2	14		"north side of Butler Lake, Miami Creek"	Bates	Missouri	with KU 132064	"testes 8 x 6 mm, seminal vesicles enlarged"	no	13	Apr	2016			-9.8525509	0.2863
132064	32613	1	0	-94.4336	38.2822	MODERN	2	NO	female	61.2	59.6	13.3		"north side of Butler Lake, Miami Creek"	Bates	Missouri	with KU 132063	oviduct 4 mm in diameter & convoluted; 1 collapsed ovum; lg. ovum 5 x 5 mm	no	13	Apr	2016			-10.83535717	0.2961
132065	32601	0.001	0.999	-94.0333	38.001	MODERN	49	YES	male	NA		11.8		"Schell-Osage Conservation Area, east side"	St. Clair	Missouri		"testes 8 x 5.5 mm, seminal vesicles enlarged"	no	4	Apr	2016	519681	PURECC	8.457057306	0.7022
132066	32599	0.002	0.998	-94.099	38.0304	MODERN	46	YES	male	NA		11.2		"Schell-Osage Conservation Area, northeast section"	St. Clair	Missouri	with KU 132067	"testes 8 x 5 mm, seminal vesicles enlarged"	no	4	Apr	2016	519685	PURECC	7.332764634	0.6658
132067	32600	0	1	-94.099	38.0304	MODERN	46	YES	female	NA		11.7		"Schell-Osage Conservation Area, northeast section"	St. Clair	Missouri	with KU 132066	"lg. ovum 6 x 5 mm, oviduct 4 mm in diameter and convoluted"	no	4	Apr	2016			9.697328319	0.6947
132068	32609	0.001	0.999	-94.1045	38.0452	MODERN	38	YES	female	NA		11.8		"Schell-Osage Conservation Area, northwest section"	Vernon	Missouri	sang soft (quiet) Carolina song; carrying nesting material; in almost the exact same site as KU 132069; male was not collected	unshelled egg in oviduct; 2 large ova; brood batch present	no	5	Apr	2016			8.532706882	0.6455
132069	32610	2.00E-04	0.9998	-94.1045	38.0452	MODERN	38	YES	female	NA		10.1		"Schell-Osage Conservation Area, northwest section"	Vernon	Missouri	"almost in the exact same site as KU 132068, who was in breeding condition; male was not collected"	"ovary mass 4.5 x 2.5 mm, ova < 1 mm"	no	5	Apr	2016			9.649195198	0.6886
